Studio,City,Country,Latitude,Longitude
Motive,Montreal,Canada,45.5167792,-73.6491776
Wargaming,Nicosia,Cyprus,35.1666667,33.3666649
Wargaming,Vilnius,Lithuania,54.6833333,25.3166676
Wargaming,Warsaw,Poland,52.25,21
Futureplay,Helsinki,Finland,60.1755556,24.934166
Game Drive,Utrecht,Netherlands,52.090833,5.1222219
Riot Games,Shanghai,China,31.2222222,121.4580536
Activision,Shanghai,China,31.2222222,121.4580536
Behaviour Interactive,Montreal,Canada,45.5167792,-73.6491776
Behaviour Interactive,Toronto,Canada,43.7001138,-79.4163055
Shiloh & Bros,Nashville,United States,36.1658899,-86.7844467
nWave,Brussels,Belgium,50.8465975,4.3527746
Illumination Studios Paris,Paris,France,48.85341,2.3487999
Markenfilm,Hamburg,Germany,53.55,10
Moon Rover Games,Stockholm,Sweden,59.3325765,18.0649033
MACKCUT,New York City,United States,40.7142691,-74.0059738
TexturingXYZ,Toulouse,France,43.6042619,1.4436722
KOTOC,Barcelona,Spain,41.3887869,2.1589851
Gameloft,Brisbane,Australia,-27.4679357,153.0280914
FuseFX,New York City,United States,40.7142691,-74.0059738
Reel FX,Montreal,Canada,45.5167792,-73.6491776
Iron Galaxy Studios,Austin,United States,30.267153,-97.7430573
Iron Galaxy Studios,Chicago,United States,41.850033,-87.6500549
Iron Galaxy Studios,Nashville,United States,36.1658899,-86.7844467
Iron Galaxy Studios,Orlando,United States,28.5383355,-81.3792343
Escape Velocity Entertainment,Orlando,United States,28.5383355,-81.3792343
Mediawan,Clichy,France,48.9,2.3
Epic Games,Porto Alegre,Brazil,-30.0330556,-51.2299995
EA Studios,Stockholm,Sweden,59.3325765,18.0649033
HMX,Pune,India,18.5195742,73.8553543
Marmalade Game Studio,Bucharest,Romania,44.4333333,26.1000004
Fin Design + Effects,Sydney,Australia,-33.86785,151.2073212
Badi Badi,Warsaw,Poland,52.25,21
Rovio,Helsinki,Finland,60.1755556,24.934166
Passion Pictures,London,England,51.5084153,-0.1255327
Behaviour Interactive,Middlesbrough,England,54.5742,1.235
Red Rover Interactive,Newcastle,England,54.9783,1.6178
Playground Games,Leamington Spa,England,52.2852,1.5201
BlueBolt,London,England,51.5084153,-0.1255327
DNEG,London,England,51.5084153,-0.1255327
MXW,London,England,51.5084153,-0.1255327
Dark Burn Creative,London,England,51.5084153,-0.1255327
Framestore,London,England,51.5084153,-0.1255327
Locksmith Animation,London,England,51.5084153,-0.1255327
NaturalMotion,London,England,51.5084153,-0.1255327
Splash Damage,Bromley,England,51.5072,0.1276
Squint/Opera,London,England,51.5084153,-0.1255327
Atomic Cartoons,Vancouver,Canada,49.2496574,-123.119339
